playerid,player,season,GP,MPG,PPG,RPG,APG,SPG,BPG,TOPG,Plus_Minus,Total_FGM,Total_FGA,Total_3PM,Total_3PA,Total_FTM,Total_FTA,PTS_Std,Max_PTS,FG%,3P%,FT%,team
2544,LeBron James,2022,33,36.60606060606061,28.636363636363637,7.484848484848484,6.090909090909091,1.393939393939394,0.8787878787878788,3.5454545454545454,-3.5757575757575757,377,706,92,247,99,133,6.92738308191747,39,0.5339943342776204,0.3724696356275304,0.7443609022556391,LAL
2544,LeBron James,2023,47,35.680851063829785,26.106382978723403,8.659574468085106,6.787234042553192,0.9361702127659575,0.6595744680851063,3.2127659574468086,2.276595744680851,488,995,107,332,144,197,6.757392224536453,46,0.4904522613065327,0.32228915662650603,0.7309644670050761,LAL
2544,LeBron James,2024,51,35.09803921568628,24.07843137254902,6.901960784313726,7.96078431372549,1.1764705882352942,0.49019607843137253,3.450980392156863,1.2745098039215685,486,917,104,267,152,212,6.012796810985391,40,0.529989094874591,0.3895131086142322,0.7169811320754716,LAL
2544,LeBron James,2025,52,34.88461538461539,22.384615384615383,7.538461538461538,8.038461538461538,1.0576923076923077,0.46153846153846156,3.6153846153846154,-1.9615384615384615,466,948,98,284,134,182,6.6248310260474,39,0.49156118143459915,0.34507042253521125,0.7362637362637363,LAL
2544,LeBron James,2026,48,33.958333333333336,20.020833333333332,5.729166666666667,7.041666666666667,1.2916666666666667,0.4791666666666667,2.9166666666666665,2.2291666666666665,381,736,65,187,134,191,6.051163360394793,36,0.5176630434782609,0.34759358288770054,0.7015706806282722,LAL
2546,Carmelo Anthony,2022,64,25.953125,12.96875,4.15625,0.90625,0.625,0.625,0.875,-2.375,290,662,136,364,114,138,6.151445177986858,29,0.4380664652567976,0.37362637362637363,0.8260869565217391,LAL
2730,Dwight Howard,2022,56,15.589285714285714,5.517857142857143,5.660714285714286,0.5178571428571429,0.5535714285714286,0.5535714285714286,0.7857142857142857,-1.75,113,184,8,12,75,118,4.3775919965560615,21,0.6141304347826086,0.6666666666666666,0.635593220338983,LAL
2738,Andre Iguodala,2022,37,17.08108108108108,3.5405405405405403,2.7567567567567566,3.2972972972972974,0.7297297297297297,0.5405405405405406,0.7567567567567568,2.135135135135135,49,128,18,77,15,21,3.602426609589358,12,0.3828125,0.23376623376623376,0.7142857142857143,GSW
2772,Trevor Ariza,2022,24,19.208333333333332,4.0,3.4166666666666665,1.125,0.5416666666666666,0.25,0.4583333333333333,-2.3333333333333335,33,99,20,74,10,18,3.336230624913196,12,0.3333333333333333,0.2702702702702703,0.5555555555555556,LAL
101108,Chris Paul,2022,69,32.91304347826087,14.53623188405797,4.231884057971015,10.057971014492754,1.8405797101449275,0.30434782608695654,2.3768115942028984,5.507246376811594,398,783,70,213,137,166,5.952210934120411,33,0.508301404853129,0.3286384976525822,0.8253012048192772,PHX
